Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RHH2389,0.490760139,2.110612922,358.24033,560.95874,Resistant
RHH2390,0.598294844,2.374963592,296.7107,782.39276,Resistant
RHH2391,0.918503601,2.845613568,367.69717,865.22815,Resistant
RHH2392,0.383795416,2.523365353,334.5274,804.8385,Resistant
RHH2393,0.350894134,2.312497521,329.73676,773.17676,Resistant
RHH2394,0.223366383,2.190524983,335.40955,766.6323,Resistant
RHH2395,0.391648753,2.141712232,414.82587,746.1611,Resistant
RHH2396,0.407921236,1.919632998,353.21707,825.74414,Resistant
RHH2397,0.132246281,2.316893435,370.2954,837.8438,Resistant
RHH2398,0.219635222,2.378212864,268.0407,696.0763,Resistant
RHH2399,0.541751652,2.613584558,332.91888,839.9829,Resistant
RHH2401,0.421055514,2.874301855,336.73154,1032.219,Resistant
RHH2402,0.321533855,0.91349624,461.88986,1567.1825,Sensitive
RHH2403,0.318803451,1.048702635,433.90027,1512.0525,Sensitive
RHH2404,0.665766696,2.435952232,314.71063,756.03827,Resistant
RHH2405,0.359593508,2.539602487,254.46446,900.7645,Resistant
RHH2406,0.54740915,2.35760663,331.8736,805.81287,Resistant
RHH2407,0.463348806,2.350130818,300.9659,586.3218,Resistant
RHH2408,0.431874069,2.304125669,437.81854,678.5305,Resistant
RHH2409,1.060777333,3.467488118,388.98956,1292.2437,Resistant
RHH2410,0.270628669,2.315059274,346.17706,875.07904,Resistant
RHH2411,0.506995281,2.389075821,383.27368,610.2501,Resistant
RHH2412,0.555669924,2.319200046,395.3186,630.4613,Resistant
RHH2413,0.51615002,2.28778316,435.54614,768.8198,Resistant
RHH2414,0.45633738,2.39297389,370.80502,691.18744,Resistant
RHH2415,0.460814412,2.460746631,352.4804,702.8723,Resistant
RHH2416,0.667767707,2.506648987,345.87134,798.1282,Resistant
RHH2417,0.122788242,2.513753019,317.9104,887.2825,Resistant
RHH2418,0.555577658,2.191315636,358.77588,646.8031,Resistant
RHH2419,0.709735399,2.379789968,448.78506,1094.723,Resistant
RHH2420,0.717287342,2.408029895,340.79266,865.4588,Resistant
RHH2421,0.431588131,2.405628008,349.96082,948.00366,Resistant
RHH2422,0.217729685,2.308718729,307.91336,714.41046,Resistant
RHH2423,0.393679031,2.46195693,341.51215,777.7457,Resistant
RHH2424,0.492326561,2.42275814,294.55807,917.0029,Resistant
RHH2425,0.614913496,2.292277149,371.61743,610.3023,Resistant
RHH2426,0.68615471,2.144538512,451.79175,523.6823,Resistant
RHH2427,0.393577921,2.412136283,394.6651,716.928,Resistant
RHH2428,0.932093852,2.708504075,354.20404,866.72504,Resistant
RHH2429,0.418532108,2.132530211,310.5232,732.4292,Resistant
RHH2430,0.638641904,2.453839572,349.771,629.949,Resistant
RHH2431,0.147014135,2.596260125,311.57465,910.3352,Resistant
RHH2432,0.318921664,2.368595422,331.0567,806.1336,Resistant
RHH2433,-0.307768577,0.277072737,70.07801,264.58566,Resistant
RHH2434,0.611658677,2.254407645,276.37875,1054.9216,Resistant
RHH2435,0.308820418,2.529852291,300.55865,846.2324,Resistant
RHH2436,0.573849396,2.182550923,352.35413,694.47577,Resistant
RHH2437,0.567511888,2.166013086,322.45615,758.4834,Resistant
RHH2438,0.269984747,2.240669245,352.45767,609.467,Resistant
RHH2439,0.170965426,2.097183595,300.50745,745.80664,Resistant
RHH2440,0.476636112,2.51561793,424.14005,740.0969,Resistant
RHH2441,0.35872579,2.322180265,323.55988,589.7836,Resistant
RHH2442,0.982861489,2.467576156,309.4696,748.9854,Resistant
RHH2443,0.452153556,2.50843445,259.19986,843.8068,Resistant
RHH2444,0.675247359,2.30942416,372.84448,707.5904,Resistant
RHH2445,0.311398755,2.506702738,279.55084,984.194,Resistant
RHH2446,0.732195793,2.684249927,286.80225,966.44794,Resistant
RHH2447,0.605698417,2.441262013,349.64023,777.79034,Resistant
RHH2448,0.441176116,2.342116499,300.81625,965.06604,Resistant
RHH2449,0.254930525,0.86856092,77.73309,369.8284,Sensitive
RHH2450,0.296174008,2.396563541,322.13312,979.5189,Resistant
RHH2451,0.405997801,2.17967754,332.12482,585.6389,Resistant
RHH2452,0.425508071,2.588966304,258.64456,1010.41986,Resistant
RHH2453,0.650158427,2.24253012,323.97168,566.95026,Resistant
RHH2454,0.277282833,2.563990734,278.67252,854.0338,Resistant
RHH2455,0.158464387,2.377032293,324.38892,809.3738,Resistant
RHH2456,0.606997872,2.48182072,248.49896,889.60583,Resistant
RHH2457,0.360147713,2.260105585,347.31845,826.05084,Resistant
RHH2458,0.654995567,2.133192825,361.27103,631.8216,Resistant
RHH2459,0.551811457,2.130869761,425.37115,632.19763,Resistant
RHH2460,0.053416043,1.815457484,279.83307,445.3009,Resistant
RHH2461,0.607589381,2.274844748,298.80194,612.515,Resistant
RHH2462,0.808937155,2.40167419,370.03735,718.4313,Resistant
RHH2463,0.91185137,2.03946394,282.4694,831.7516,Resistant
RHH3015,0.96265513,2.464404503,332.62274,865.5526,Resistant
RHH3016,1.175870484,2.830918199,353.27628,798.0048,Resistant
RHH3017,0.945026639,2.588894979,295.52188,818.9974,Resistant
RHH3018,0.798002091,1.897691032,293.09772,522.03455,Resistant
RHH3019,0.73230484,2.127332384,298.04242,698.577,Resistant
RHH3020,1.245103989,2.517688218,345.5526,587.2271,Sensitive
RHH3021,1.278740977,2.857945279,415.3014,890.10736,Resistant
RHH3023,1.137749674,2.786890777,275.44498,931.29767,Resistant
RHH3024,1.100116944,2.704702749,354.07916,816.8634,Resistant
RHH3025,0.800286144,2.940769062,443.66745,1343.1584,Resistant
RHH3026,0.666700464,2.668442824,209.84052,607.2209,Resistant
RHH3027,1.297933678,2.427355514,325.47955,629.2917,Sensitive
RHH3028,0.908779619,2.191021619,299.10263,784.4651,Resistant
RHH3029,1.455858134,2.673504756,370.38715,617.92596,Sensitive
RHH3030,0.550675554,2.893881074,272.51855,872.69293,Resistant
RHH3031,1.164550607,1.94903976,353.62296,550.48694,Resistant
RHH3032,0.986739905,2.466117766,260.81305,823.8737,Resistant
RHH3033,1.568660292,2.7091497,378.34912,710.70154,Resistant
RHH3034,0.838543471,1.899664647,312.50055,554.6593,Resistant
RHH3035,1.589248498,2.961885328,356.70404,668.0018,Resistant
RHH3036,0.985175167,2.383434615,335.38922,759.1131,Resistant
RHH3037,1.051903387,2.425734756,350.8141,624.27826,Resistant
RHH3038,0.884709687,2.76374191,330.13608,782.6332,Resistant
RHH3039,0.885005177,2.221311429,301.59143,695.12854,Resistant
RHH3040,0.445103963,2.263982117,278.3289,820.4591,Resistant
RHH3041,1.220017911,2.332650861,286.70856,544.1952,Resistant
RHH3042,0.827794744,2.51471596,232.63046,660.5083,Sensitive
RHH3043,0.996172061,2.394324004,244.17322,812.586,Resistant
RHH3044,0.686413544,2.40217167,285.12274,836.3562,Resistant
RHH3045,1.050621907,2.367755646,301.73523,728.82025,Resistant
RHH3046,0.714216871,2.453227637,288.39075,815.83527,Resistant
RHH3047,0.914054379,2.526535565,329.47488,588.3022,Resistant
RHH3048,1.090966719,2.48626154,289.75012,765.68506,Resistant
RHH3049,0.712539774,2.059155602,294.0071,673.6347,Resistant
RHH3050,1.162671429,2.07318197,343.09482,509.09732,Resistant
RHH3051,1.240367014,2.129219796,311.28906,487.65448,Resistant
RHH3052,0.864808158,2.029044106,163.28574,346.63983,Resistant
RHH3053,0.819138364,2.956631982,284.35278,782.1676,Resistant
RHH3054,0.819110033,2.243956433,267.5564,560.806,Resistant
RHH3055,0.919187322,2.253765377,206.86082,773.73065,Resistant
RHH3056,0.807161604,2.300829003,240.00903,810.7529,Resistant
RHH3057,0.803741214,2.209134441,330.03616,810.1646,Resistant
RHH3058,1.072569254,2.380547998,354.64352,702.78503,Resistant
RHH3059,0.995809663,2.567845058,366.30127,619.1955,Resistant
RHH3060,1.058377132,2.32858672,316.52197,687.5013,Resistant
RHH3061,1.150170597,2.375230446,362.9632,754.58044,Resistant
RHH3062,1.212232698,2.503841857,259.0582,643.3119,Resistant
RHH3064,0.781684397,2.110552873,359.0568,641.98553,Resistant
RHH3065,0.688084854,2.2258173,407.7268,644.18115,Resistant
RHH3066,0.466656398,1.682151128,376.05115,386.04218,Resistant
RHH3067,0.957841992,2.082216418,280.52203,609.2212,Resistant
RHH3068,1.006527924,2.205691205,369.7189,778.9491,Resistant
RHH3069,0.549980272,2.096002101,263.10977,714.7941,Resistant
RHH3070,0.464159388,2.640467465,245.23625,703.3168,Resistant
RHH3072,1.07349073,2.327616684,361.06107,473.31412,Resistant
RHH3073,1.06422216,2.398025962,304.1337,616.59204,Resistant
RHH3074,0.528011558,2.081215323,243.75562,536.25775,Resistant
RHH3075,0.775802736,2.137801869,338.03806,894.0355,Resistant
RHH3076,0.459771203,2.382336116,345.52036,827.8781,Resistant
RHH3077,0.773925925,2.330977042,293.89618,698.84717,Resistant
