Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RPI7_E8,0.596648821,0.559432154,1.162323,7.444516,Sensitive
RPI7_E9,0.714813699,0.33053947,2.101515,4.393871,Sensitive
RPI7_E10,0.699139216,0.5822634,1.1176766,2.9219353,Sensitive
RPI7_E11,1.090750476,0.658920956,1.4858587,2.8435485,Sensitive
RPI7_E12,0.662766606,0.4824054,1.7883837,4.719355,Sensitive
RPI7_E13,0.627797968,0.674413618,1.5273738,6.277903,Sensitive
RPI7_E14,0.567951176,0.483703337,0.56727266,4.125968,Sensitive
RPI7_E15,0.662001543,0.50263071,1.1138384,1.7345161,Sensitive
RPI7_E16,0.663902144,0.452364476,2.659091,2.1070967,Sensitive
RPI7_E17,0.686729295,0.449819046,1.3424242,2.472581,Sensitive
RPI7_E18,0.811069901,0.582968072,2.3433337,4.5151615,Sensitive
RPI7_E19,0.792867208,0.418442123,2.128081,3.2851613,Sensitive
RPI7_E20,0.793623844,0.311238928,0.72555554,0.48096776,Sensitive
RPI7_E21,-0.040360851,0.219846756,-0.01010101,0.08370967,Resistant
RPI7_E22,0.415922381,0.475819529,0.00222218,3.3166127,Sensitive
RPI7_E23,0.887615312,0.690280929,1.399596,3.227903,Sensitive
RPI7_E24,0.650370531,0.381276366,1.6227272,3.71871,Sensitive
RPI7_F1,0.568647513,0.483243629,4.697374,6.42871,Sensitive
RPI7_F2,0.915094372,0.385716771,2.100606,2.9479032,Sensitive
RPI7_F3,0.398361993,0.488470083,0.79878795,2.350645,Sensitive
RPI7_F4,0.686971807,0.596531609,1.1676768,2.8816128,Sensitive
RPI7_F5,0.903028603,0.388400454,3.9037375,2.4827418,Sensitive
RPI7_F6,0.810200892,0.294854164,2.083636,3.263226,Sensitive
RPI7_F7,0.789388072,0.378537742,2.822626,4.893065,Sensitive
RPI7_F8,0.72302945,0.526730051,2.138687,2.4262903,Sensitive
RPI7_F9,0.751924596,0.479520148,0.9843434,2.456129,Sensitive
RPI7_F10,0.759531359,0.344893761,2.5440402,3.2711291,Sensitive
RPI7_F11,0.771580209,0.484560474,0.9760605,3.0991933,Sensitive
RPI7_F12,0.507877523,0.26165736,0.64666677,3.7188706,Sensitive
RPI7_F13,0.80000166,0.385410685,3.469293,4.995645,Sensitive
RPI7_F14,0.687974187,0.629991859,1.2811112,4.731129,Sensitive
RPI7_F16,0.701332928,0.386126948,0.56353533,3.2841938,Sensitive
RPI7_F17,0.62733541,0.347082591,0.83040404,5.50871,Sensitive
RPI7_F18,0.63425642,0.480693864,0.939697,2.5851614,Sensitive
RPI7_F19,0.853890678,0.327536274,1.2464646,1.1296775,Sensitive
RPI7_F20,0.715987856,0.421091668,2.2155554,5.4961286,Sensitive
RPI7_F21,0.820417423,0.430940042,1.5731313,1.7783871,Sensitive
RPI7_F22,0.725125966,0.588084358,0.61212116,1.9320968,Sensitive
RPI7_F23,0.576996295,0.314531217,1.0613132,1.0025806,Sensitive
RPI7_F24,0.763432622,0.434774725,1.3955555,2.301774,Sensitive
RPI7_G1,0.702378192,0.529853684,0.79010093,3.3987095,Sensitive
RPI7_G2,0.647126519,0.420695254,0.84818184,2.346129,Sensitive
RPI7_G3,0.998427772,0.129956907,0.99909097,1.2122581,Sensitive
RPI7_G4,0.856715053,0.583228101,0.8650505,2.302258,Sensitive
RPI7_G5,0.721606544,0.546814029,1.6469696,4.3046775,Sensitive
RPI7_G6,0.654268747,0.463557018,0.659899,2.2093549,Sensitive
RPI7_G7,0.580597442,0.483697864,1.3528283,3.4011292,Sensitive
RPI7_G8,0.559575604,0.48388747,0.70565665,1.7741935,Sensitive
RPI7_G9,0.848139487,0.432568595,1.6296971,2.7291934,Sensitive
RPI7_G10,0.844187794,0.318107038,0.9758587,1.7388711,Sensitive
RPI7_G11,0.533039508,0.502873431,0.6182828,3.3137095,Sensitive
RPI7_G12,0.695911476,0.52134798,1.2570707,2.1130645,Sensitive
RPI7_G13,0.616667357,0.368453843,0.83515143,3.1077423,Sensitive
RPI7_G14,0.782835744,0.396539311,1.2693939,2.1524193,Sensitive
RPI7_G15,0.58292682,0.410449936,0.7967675,4.109355,Sensitive
RPI7_G16,0.734447002,0.524281476,1.3174746,3.723226,Sensitive
RPI7_G17,0.820448104,0.388390402,1.3319193,1.7872581,Sensitive
RPI7_G18,0.630452002,0.347622456,0.6330302,2.2996776,Sensitive
RPI7_G19,0.560884172,0.45194261,0.6446465,2.2354841,Sensitive
RPI7_G20,0.606950448,0.439971611,0.68121195,4.185323,Sensitive
RPI7_G21,0.563258244,0.4369248,0.9471717,5.3888707,Sensitive
RPI7_G22,0.830214996,0.480891496,1.0493939,1.8982258,Sensitive
RPI7_G23,0.450668908,0.365924891,0.28929293,1.8830645,Sensitive
RPI7_G24,0.571342952,0.218133585,0.4067676,1.9853227,Sensitive
RPI7_H1,0.83713736,0.265338729,2.4488888,1.9549999,Sensitive
RPI7_H2,0.63972838,0.400754835,1.0473738,3.94129,Sensitive
RPI7_H3,0.794813332,0.496563063,1.1806059,2.4948385,Sensitive
RPI7_H4,0.902570816,0.61100061,1.3514142,2.2308066,Sensitive
RPI7_H5,0.555071188,0.641785669,0.7620201,4.155645,Sensitive
RPI7_H6,0.709265297,0.392036837,1.0214143,1.443871,Sensitive
RPI7_H7,0.763769576,0.352736878,1.2086868,3.2199998,Sensitive
RPI7_H8,0.544473863,0.479243571,0.03232324,1.5367743,Sensitive
RPI7_H9,0.802267647,0.407785068,0.808687,1.9904838,Sensitive
RPI7_H10,0.66271467,0.481516518,0.9830303,2.5337098,Sensitive
RPI7_H11,0.668579353,0.546699729,1.2418182,4.7979035,Sensitive
RPI7_H12,0.583273471,0.376682284,0.8049494,3.7467742,Sensitive
RPI7_H13,0.636513572,0.413188677,0.9436362,2.553226,Sensitive
RPI7_H15,0.777860554,0.385449362,1.3742425,4.1145163,Sensitive
RPI7_H16,0.828570115,0.338699109,1.1765656,1.7903225,Sensitive
RPI7_H17,0.96843666,0.268264357,1.6081817,0.9098388,Sensitive
RPI7_H18,0.697617055,0.453840878,0.67020214,3.48,Sensitive
RPI7_H19,0.491689573,0.680416387,0.41575766,3.3303225,Sensitive
RPI7_H20,0.784222006,0.618925797,1.0321212,2.8996775,Sensitive
RPI7_H21,1.203244452,0.638681659,1.4501011,1.7112902,Sensitive
RPI7_H22,1.069221753,0.277257817,2.1275756,2.2395163,Sensitive
RPI7_H23,0.741639169,0.451775703,1.3518183,3.5159676,Sensitive
RPI7_H24,0.185083742,0.453531972,0.034747474,0.07564516,Resistant
RPI7_I1,0.966288819,0.585815988,1.0269697,1.091613,Sensitive
RPI7_I2,0.506411348,0.329660568,0.034141414,0.046935484,Resistant
RPI7_I3,0.666235931,0.33167169,0.8730302,2.7179031,Sensitive
RPI7_I4,0.959007141,0.456187557,2.1762626,2.427258,Sensitive
RPI7_I5,0.997155196,0.569373288,3.2766669,5.7888713,Sensitive
RPI7_I6,0.530213236,0.372807342,1.851717,4.407903,Sensitive
RPI7_I7,0.58380275,0.509367903,3.0431314,5.574032,Sensitive
RPI7_I8,0.896104983,0.337129157,1.1562626,1.8680644,Sensitive
RPI7_I10,0.659426765,0.472276169,1.3212122,2.1298387,Sensitive
RPI7_I11,0.899221372,0.545889077,1.5030303,3.540484,Sensitive
RPI7_I12,0.71613042,0.444149965,1.1660606,3.5651615,Sensitive
RPI7_I13,0.765601884,0.428220338,2.0481818,5.051129,Sensitive
RPI7_I14,0.788281886,0.392998618,1.3575757,3.1033869,Sensitive
RPI7_I15,1.058110063,0.440216646,2.0031314,1.7688711,Sensitive
RPI7_I16,0.395850856,0.394119595,0.6988888,3.461935,Sensitive
RPI7_I17,0.879621238,0.594260063,1.0344443,2.9312904,Sensitive
RPI7_I18,0.699028069,0.352561988,1.2223232,2.4114516,Sensitive
RPI7_I19,0.648521088,0.42262324,2.0146465,1.7232261,Sensitive
RPI7_I20,0.784544831,0.3841461,1.7182827,4.9775805,Sensitive
RPI7_I21,0.660857235,0.378717665,2.4941413,3.042097,Sensitive
RPI7_I22,1.12348218,0.638091324,5.1824245,2.4314516,Sensitive
RPI7_I23,0.492853847,0.311269964,2.9943433,4.595806,Sensitive
RPI7_I24,0.602642733,0.374098916,0.8937373,1.8279033,Sensitive
RPI7_J1,0.835728519,0.615295128,1.450101,3.2522578,Sensitive
RPI7_J2,0.767476341,0.549229961,1.1451516,2.402742,Sensitive
RPI7_J3,1.074861663,0.334103158,1.1906061,0.573387,Sensitive
RPI7_J4,1.067606403,0.308706643,1.1572728,1.3396776,Sensitive
RPI7_J5,0.857163754,0.557833088,1.1759595,3.3746774,Sensitive
RPI7_J6,0.823995132,0.192689572,1.9951515,3.1632261,Sensitive
RPI7_J7,0.547952995,0.383484404,1.632626,3.7191935,Sensitive
RPI7_J8,0.616846354,0.267414096,0.86111116,1.943387,Sensitive
RPI7_J9,0.582454815,0.516546178,1.739697,2.6058066,Sensitive
RPI7_J10,0.680226823,0.296253877,0.9439393,2.924355,Sensitive
RPI7_J11,0.501632667,0.568124704,0.85727274,1.8312905,Sensitive
RPI7_J12,0.92998289,0.289132662,0.99939394,1.7829032,Sensitive
RPI7_J13,1.041430993,0.415011523,0.6404041,0.7522581,Sensitive
RPI7_J14,0.927663902,0.216548452,1.3923234,1.1440324,Sensitive
RPI7_J15,0.821284852,0.202690494,0.47353518,0.17225814,Sensitive
RPI7_J16,0.668128976,0.427464559,1.820606,2.912581,Sensitive
RPI7_J18,0.698483875,0.494686837,1.6535354,4.013549,Sensitive
RPI7_J19,1.048094784,0.554130352,0.75242424,1.0629033,Sensitive
RPI7_J20,0.786421881,0.40836939,1.4065657,1.6174194,Sensitive
RPI7_J21,0.796091237,0.361181637,1.3281819,1.6793551,Sensitive
RPI7_J22,0.976725234,0.39714658,1.6271718,1.5072579,Sensitive
RPI7_J23,0.469176963,0.371602357,-0.030202031,1.6132259,Sensitive
RPI7_J24,0.637012397,0.346834041,1.5304039,3.7120967,Sensitive
RPI7_K1,0.643184317,0.29996253,1.5393939,2.6217742,Sensitive
RPI7_K2,0.983750024,0.375509141,1.2091918,0.89548385,Sensitive
RPI7_K3,0.927304882,0.351657351,1.5966667,2.3956451,Sensitive
RPI7_K4,0.783377683,0.387348807,0.31636357,0.6414516,Sensitive
RPI7_K7,0.828119867,0.427665149,1.1088889,3.8548386,Sensitive
RPI7_K8,0.88826545,0.334596317,2.0475757,3.2316132,Sensitive
RPI7_K9,0.708974904,0.296830436,0.79252523,0.4906453,Sensitive
RPI7_K10,0.527744026,0.36981569,0.24757576,1.0864515,Sensitive
RPI7_K11,0.815252906,0.42471523,1.3922223,2.1708066,Sensitive
RPI7_K12,0.732968956,0.360701165,0.17777777,2.5690324,Sensitive
RPI7_K13,1.020949553,0.380419673,1.3528283,2.363226,Sensitive
RPI7_K14,-0.004849667,0.081599039,-0.032828283,0.023548387,Resistant
RPI7_K15,0.784103848,0.482500805,1.2025254,1.6087097,Sensitive
RPI7_K18,0.76516821,0.319163553,0.58242416,1.8679032,Sensitive
RPI7_K20,0.690148899,0.304170177,1.1222223,1.6540325,Sensitive
RPI7_K21,0.41858647,0.266342455,0.09101009,0.110000014,Resistant
RPI7_K22,0.747610143,0.428467375,1.6626263,4.9130645,Sensitive
RPI7_K23,0.682791352,0.4786617,0.82252514,3.096774,Sensitive
RPI7_K24,0.735370889,0.298246239,1.3101009,2.4219353,Sensitive
RPI7_L1,0.748377472,0.363440833,2.0178788,1.6737096,Sensitive
RPI7_L2,0.691830043,0.450453126,0.70515156,2.0320969,Sensitive
RPI7_L3,0.861213995,0.530817261,0.7338384,1.7212902,Sensitive
